,shirt_number,Position,Goals,Assists,Total_shots,Shots_on_Target,Shots_off_Target,Blocked_shots,Saved_shots,Total_passes,pass_failure,Pass_Success,Key_passes,dribble_attempt,dribble_failure,dribble_success,offensive_failure,defensive_failure,offensive_success,defensive_success,Tackles_attempted,tackling_failure,tackling_success,Clearances,Interceptions,injuries,Distance_covered,Avg_speed,Highest_speed,dribbled_past,team,team_color
1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
2,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,10.393327277748549,6.059352969209416,23.92407718653951,0,1,[     148.87      237.09      177.19]
3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.8959976004354119,0.3870709633880979,8.477413475453808,0,1,[     148.87      237.09      177.19]
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,95.4764845930919,41.24584134421569,202.2572144572351,0,2,[      228.2      228.58      218.56]
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0,0,0
7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0,0,0
8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,123.07901371552663,53.17013392510749,308.09464000781355,0,1,[     148.87      237.09      177.19]
9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.273019710249933,1.413944514827971,9.75395271852101,0,2,[      228.2      228.58      218.56]
10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,24.030463131207743,10.381160072681745,32.70794655917815,0,2,[      228.2      228.58      218.56]
11,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,187.91581928713777,109.10351190939132,427.5882598815209,0,1,[     148.87      237.09      177.19]
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,8.245340748732538,4.771342000387547,12.793238284166137,0,1,[     148.87      237.09      177.19]
13,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,489.4143213763406,211.4269868345791,547.6206903788033,0,2,[      228.2      228.58      218.56]
16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0,0,0
18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.6402158274850613,0.7085732374735464,18.786064050351346,0,2,[      228.2      228.58      218.56]
19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.6165293313177505,1.5071208948390244,9.394112162193776,0,2,[      228.2      228.58      218.56]
24,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
25,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,8.295887158705842,4.804976936909282,11.713432103925115,0,1,[     148.87      237.09      177.19]
26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,524.1348294668634,226.42624632968506,525.9233903630424,0,1,[     148.87      237.09      177.19]
27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,518.3006065618092,223.90586203470153,823.4031375522909,0,2,[      228.2      228.58      218.56]
28,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,15.588698465146114,9.096618532897903,17.629232546060898,0,1,[     148.87      237.09      177.19]
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.3450950706313725,1.0130810705127529,40.52324282051011,0,1,[     148.87      237.09      177.19]
32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.2633708480351986,0.9777762063512059,13.210106828717713,0,2,[      228.2      228.58      218.56]
23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,23.452764397455017,10.131594219700567,395.1381475181042,0,1,[     148.87      237.09      177.19]
35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5.519010121013971,2.3842123722780353,95.36849489112141,0,1,[     148.87      237.09      177.19]
