Frame Number,Class Label,Track ID,"Bounding Box (x1, y1, x2, y2)"
0,player,36,"[363.2303771972656, 633.4071044921875, 398.94244384765625, 710.6900634765625]"
0,player,81,"[299.3297424316406, 636.4989624023438, 336.68133544921875, 708.1318359375]"
0,player,85,"[1542.1571044921875, 559.1189575195312, 1582.2821044921875, 623.392822265625]"
0,player,63,"[208.89422607421875, 447.19317626953125, 227.19163513183594, 505.98504638671875]"
0,player,7,"[1041.9779052734375, 616.15087890625, 1075.2459716796875, 678.16064453125]"
0,player,16,"[723.7738647460938, 543.5394287109375, 752.6331176757812, 601.5089721679688]"
0,player,49,"[460.9904479980469, 358.4638366699219, 486.8346862792969, 407.643310546875]"
0,player,12,"[1007.3845825195312, 540.1373291015625, 1038.732177734375, 600.489990234375]"
0,player,74,"[291.310546875, 551.7816772460938, 313.1295471191406, 615.8765258789062]"
0,player,67,"[583.8847045898438, 359.9757385253906, 600.91796875, 399.9185485839844]"
0,player,19,"[548.4783935546875, 477.40264892578125, 574.3528442382812, 530.9222412109375]"
0,player,28,"[1170.099609375, 625.8051147460938, 1206.8009033203125, 684.438232421875]"
0,player,76,"[795.3037719726562, 427.23193359375, 815.2406616210938, 481.924072265625]"
0,player,13,"[839.9470825195312, 474.6711730957031, 867.2206420898438, 525.181884765625]"
0,player,61,"[1502.02880859375, 544.3656616210938, 1518.83837890625, 610.0604248046875]"
0,player,11,"[1211.955322265625, 481.1324462890625, 1235.463134765625, 539.4652709960938]"
0,player,2,"[591.210205078125, 428.49627685546875, 611.9877319335938, 484.3623046875]"
0,player,6,"[213.97572326660156, 557.13916015625, 244.3345184326172, 632.1946411132812]"
0,player,65,"[1140.9791259765625, 390.67877197265625, 1166.3199462890625, 437.08319091796875]"
0,player,25,"[1042.9019775390625, 498.8789367675781, 1068.4940185546875, 553.0286254882812]"
0,player,91,"[1455.602783203125, 423.3567810058594, 1482.9971923828125, 468.9773254394531]"
0,referee,98,"[1750.581298828125, 624.1548461914062, 1774.95849609375, 690.1527099609375]"
0,referee,99,"[149.71055603027344, 307.020751953125, 165.31741333007812, 345.96624755859375]"
0,ball,1,"[870.4383544921875, 512.7865600585938, 881.6292114257812, 530.1046752929688]"
0,goalkeeper,95,"[1556.9197998046875, 409.03179931640625, 1579.0850830078125, 462.4291076660156]"
0,goalkeeper,97,"[1455.78125, 423.0733337402344, 1483.1229248046875, 468.8226013183594]"
1,player,16,"[725.6891479492188, 542.79638671875, 755.9259033203125, 600.725830078125]"
1,player,36,"[364.8154296875, 633.088623046875, 399.1626281738281, 710.0089721679688]"
1,player,7,"[1040.2532958984375, 617.0951538085938, 1074.861083984375, 678.9122924804688]"
1,player,81,"[299.2147216796875, 636.2604370117188, 338.6875915527344, 708.6925048828125]"
1,player,85,"[1535.529541015625, 558.377197265625, 1580.4595947265625, 620.4129638671875]"
1,player,19,"[551.0552368164062, 476.8699951171875, 578.12939453125, 530.8070068359375]"
1,player,13,"[835.7999267578125, 475.94677734375, 869.871826171875, 526.3295288085938]"
1,player,49,"[461.3203125, 357.89886474609375, 486.25506591796875, 408.50152587890625]"
1,player,12,"[1007.4287109375, 540.376708984375, 1035.1571044921875, 598.7296752929688]"
1,player,11,"[1213.5308837890625, 478.2450256347656, 1235.240234375, 536.8932495117188]"
1,player,74,"[296.2330627441406, 550.1564331054688, 317.945556640625, 615.3751220703125]"
1,player,28,"[1168.0771484375, 626.7747802734375, 1198.5078125, 684.5059204101562]"
1,player,67,"[584.3439331054688, 359.8321838378906, 602.2452392578125, 399.9481201171875]"
1,player,63,"[211.98898315429688, 447.172607421875, 228.3507843017578, 506.6907653808594]"
1,player,76,"[796.100830078125, 427.6728515625, 816.7615356445312, 481.5544738769531]"
1,player,6,"[217.59214782714844, 554.6223754882812, 245.54466247558594, 624.3430786132812]"
1,player,2,"[595.8688354492188, 431.8940734863281, 613.4374389648438, 483.4659118652344]"
1,player,25,"[1044.0948486328125, 498.6676940917969, 1069.590087890625, 551.554931640625]"
1,player,61,"[1500.4595947265625, 545.3278198242188, 1520.7376708984375, 611.2447509765625]"
1,player,65,"[1140.949951171875, 391.2286376953125, 1165.5970458984375, 439.5289306640625]"
1,player,91,"[1456.1005859375, 423.37628173828125, 1479.6728515625, 469.38775634765625]"
1,referee,99,"[150.64524841308594, 306.9068298339844, 167.5200653076172, 347.9323425292969]"
1,referee,98,"[1749.2332763671875, 625.5906982421875, 1774.0341796875, 690.8458251953125]"
1,ball,1,"[870.4383544921875, 512.7865600585938, 881.6292114257812, 530.1046752929688]"
1,goalkeeper,95,"[1558.237060546875, 407.5229187011719, 1578.507568359375, 461.4132385253906]"
1,goalkeeper,97,"[1456.2674560546875, 423.0975036621094, 1479.4735107421875, 469.4380187988281]"
2,player,7,"[1037.595703125, 617.5658569335938, 1071.7833251953125, 679.850830078125]"
2,player,16,"[726.5196533203125, 540.6676635742188, 758.6953125, 599.0746459960938]"
2,player,36,"[366.0389099121094, 633.1220092773438, 399.58319091796875, 709.002197265625]"
2,player,11,"[1213.932861328125, 476.3704833984375, 1234.412353515625, 533.8496704101562]"
2,player,13,"[833.9214477539062, 476.5901184082031, 872.1959838867188, 527.3569946289062]"
2,player,81,"[300.04095458984375, 636.2554321289062, 339.2516174316406, 708.6478271484375]"
2,player,19,"[552.4015502929688, 477.5367736816406, 581.8558959960938, 530.4298095703125]"
2,player,12,"[1007.3164672851562, 540.4788818359375, 1032.991455078125, 598.2786865234375]"
2,player,85,"[1531.6810302734375, 558.9261474609375, 1577.41455078125, 620.0774536132812]"
2,player,49,"[461.8442077636719, 357.7975158691406, 483.2940979003906, 406.50897216796875]"
2,player,2,"[596.9871215820312, 431.6900939941406, 615.4630737304688, 484.7029724121094]"
2,player,67,"[584.464599609375, 359.6595153808594, 603.422607421875, 400.2133483886719]"
2,player,63,"[213.0596923828125, 447.53466796875, 230.2672119140625, 505.72137451171875]"
2,player,28,"[1164.0758056640625, 626.6729736328125, 1192.7392578125, 685.02099609375]"
2,player,74,"[300.2010803222656, 549.80517578125, 323.1233825683594, 613.5835571289062]"
2,player,61,"[1495.718994140625, 545.1287841796875, 1516.7999267578125, 608.5272216796875]"
2,player,6,"[218.1976776123047, 552.8753662109375, 246.13453674316406, 621.6231079101562]"
2,player,76,"[797.2144775390625, 427.3871154785156, 817.796630859375, 482.6937561035156]"
2,player,25,"[1045.9658203125, 498.26953125, 1069.5853271484375, 549.7523803710938]"
2,player,65,"[1139.2667236328125, 389.70281982421875, 1163.55322265625, 436.458251953125]"
2,player,91,"[1455.6822509765625, 422.8333740234375, 1480.9852294921875, 468.2655029296875]"
2,referee,99,"[152.89683532714844, 307.1190490722656, 168.60824584960938, 347.1356506347656]"
2,ball,1,"[870.4383544921875, 512.7865600585938, 881.6292114257812, 530.1046752929688]"
2,goalkeeper,95,"[1558.392333984375, 405.5072937011719, 1579.56298828125, 459.8115234375]"
2,goalkeeper,97,"[1455.8095703125, 422.5249328613281, 1481.0390625, 468.0246276855469]"
3,player,7,"[1034.3184814453125, 617.5774536132812, 1068.3035888671875, 679.60205078125]"
3,player,11,"[1214.9000244140625, 476.0408935546875, 1234.503662109375, 532.2105102539062]"
3,player,85,"[1529.9329833984375, 559.5324096679688, 1570.1414794921875, 620.1480102539062]"
3,player,19,"[554.6790771484375, 476.5224914550781, 583.5460205078125, 530.9877319335938]"
3,player,36,"[366.93621826171875, 633.0315551757812, 399.9990234375, 709.4905395507812]"
3,player,12,"[1006.696533203125, 540.2437744140625, 1031.086669921875, 597.2827758789062]"
3,player,28,"[1160.716552734375, 626.934326171875, 1188.2493896484375, 685.0428466796875]"
3,player,16,"[728.039794921875, 538.7122192382812, 763.7344970703125, 596.5515747070312]"
3,player,81,"[300.463623046875, 636.11962890625, 340.694580078125, 707.6072998046875]"
