id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose,defenders,midfielders,attackers,advanced_midfielders
1723,4-4-2,Jan-00,1,0,10,3,5,2,55.1,350,261,75,7,7,4,0,57,21,55,20,18,9,100,9,17,9,7,1,0,0,4,4,2,0
586,3-4-3,1-Mar,3,1,22,7,6,9,55.3,360,255,71,18,18,11,5,61,23,40,15,42,18,78,23,21,10,9,1,0,0,3,4,3,0
1692,4-3-3,1-Feb,2,1,12,6,3,3,58.8,367,265,72,9,17,10,4,59,18,56,17,15,19,83,23,17,10,6,1,0,0,4,3,3,0
1351,4-4-2,1-Mar,3,1,14,4,7,3,59.9,375,277,74,11,15,7,7,47,27,59,18,28,18,72,25,19,4,7,1,0,0,4,4,2,0
1211,4-2-3-1,1-Apr,4,1,14,9,2,3,61.1,402,313,78,9,15,10,8,67,21,64,16,17,16,67,24,27,6,4,1,0,0,4,2,1,3
1652,4-4-2,2-Mar,3,2,24,9,12,3,63.1,401,333,83,19,11,3,6,27,26,68,11,27,8,57,14,16,7,11,1,0,0,4,4,2,0
1385,3-5-2,Jan-00,1,0,16,3,11,2,62.1,428,307,72,5,12,7,9,58,24,45,19,34,18,67,27,15,5,5,1,0,0,3,5,2,0
1221,4-3-3,1-Feb,2,1,10,3,5,2,60.5,418,323,77,7,14,8,6,57,21,62,17,17,9,60,15,18,2,1,1,0,0,4,3,3,0
1518,4-2-3-1,1-Mar,3,1,26,8,10,8,60.4,418,336,80,17,18,12,11,67,9,50,8,10,21,66,32,15,8,5,1,0,0,4,2,1,3
1449,4-2-3-1,Feb-00,2,0,20,5,11,4,61.5,429,326,76,15,19,9,16,47,27,52,27,25,23,59,39,11,0,5,1,0,0,4,2,1,3
